g_m,energy,latency,w_a,w_0,w_m,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
2.000000000000001,0.5213260000000001,0.00646974,38.6,104,2.198,20,48,96,1,1,3703672812,24740620,10932332,"[96, 240, 480, 1152]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 96, 96]"
1.0,0.513678,0.006714159999999999,34.3,48,2.782,23,24,24,1,1,1857105984,22532080,7337744,"[48, 144, 360, 1032]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
1.1,0.549596,0.007733520000000001,34.3,48,2.782,23,24,24,1,1,1857105984,22532080,7337744,"[48, 144, 360, 1032]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
1.2000000000000002,0.5207240000000001,0.006973,34.3,48,2.782,23,24,24,1,1,1857105984,22532080,7337744,"[48, 144, 360, 1032]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
1.3000000000000003,0.52243,0.00709237,34.3,48,2.782,23,24,24,1,1,1857105984,22532080,7337744,"[48, 144, 360, 1032]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
1.4000000000000004,0.5245,0.00681151,34.3,48,2.782,23,24,32,1,1,1892954392,22814136,7270936,"[48, 144, 352, 1024]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 32, 32]"
1.5000000000000004,0.5333680000000001,0.00705652,34.3,48,2.782,23,24,32,1,1,1892954392,22814136,7270936,"[48, 144, 352, 1024]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 32, 32]"
1.6000000000000005,0.5422859999999999,0.00720793,34.3,48,2.782,23,24,32,1,1,1892954392,22814136,7270936,"[48, 144, 352, 1024]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 32, 32]"
1.7000000000000006,0.572802,0.00727775,34.3,48,2.782,23,24,40,1,1,2023101498,24250586,7346426,"[48, 144, 360, 1040]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 40, 40]"
1.8000000000000007,0.573554,0.00720901,34.3,48,2.782,23,24,40,1,1,2023101498,24250586,7346426,"[48, 144, 360, 1040]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 40, 40]"
1.9000000000000008,0.5690299999999999,0.00717763,34.3,48,2.782,23,24,40,1,1,2023101498,24250586,7346426,"[48, 144, 360, 1040]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 40, 40]"
